Adding_Subtracting_Zero_1_NT,TRUE,5352
Adding_Subtracting_Zero_1_T,TRUE,4507
Adding_Subtracting_Zero_2_NT,FALSE,5131
Adding_Subtracting_Zero_2_T,FALSE,5156
Adding_Subtracting_Zero_3_NT,FALSE,4894
Adding_Subtracting_Zero_3_T,FALSE,4866
Adding_Subtracting_Zero_4_NT,FALSE,4708
Adding_Subtracting_Zero_4_T,FALSE,4723
Adding_Subtracting_Zero_5_NT,TIMEOUT,3773
Adding_Subtracting_Zero_5_T,TIMEOUT,3736
Incorrect_Bit_Calculation_1_NT,TRUE,4191
Incorrect_Bit_Calculation_1_T,TRUE,4176
Incorrect_Bit_Calculation_2_NT,FALSE,4479
Incorrect_Bit_Calculation_2_T,FALSE,4497
Incorrect_Bit_Calculation_3_NT,TRUE,4239
Incorrect_Bit_Calculation_3_T,TRUE,4244
Incorrect_Control_Statement_1_NT,TRUE,4712
Incorrect_Control_Statement_1_T,TRUE,4765
Incorrect_Control_Statement_2_NT,TRUE,4562
Incorrect_Control_Statement_2_T,TRUE,4650
Incorrect_Initialization_1_NT,TRUE,4854
Incorrect_Initialization_1_T,TRUE,4930
Incorrect_Initialization_2_NT,TRUE,6434
Incorrect_Initialization_2_T,UNKNOWN,31904
Incorrect_Initialization_3_NT,TRUE,4769
Incorrect_Initialization_3_T,TRUE,4730
Incorrect_Initialization_4_NT,UNKNOWN,30929
Incorrect_Initialization_4_T,UNKNOWN,30963
Incorrect_Update_for_Loop_Iterator_1_NT,UNKNOWN,31359
Incorrect_Update_for_Loop_Iterator_1_T,TRUE,5218
Incorrect_Update_for_Loop_Iterator_2_NT,TRUE,4381
Incorrect_Update_for_Loop_Iterator_2_T,TRUE,4422
Incorrect_Update_for_Loop_Iterator_3_NT,FALSE,4528
Missing_Corner-case_Handling_1_NT,TRUE,4476
Missing_Corner-case_Handling_1_T,TRUE,4443
Missing_Corner-case_Handling_2_NT,UNKNOWN,31262
Missing_Corner-case_Handling_2_T,TRUE,15971
Missing_Corner-case_Handling_3_NT,UNKNOWN,31205
Missing_Corner-case_Handling_3_T,TRUE,6725
Missing_Corner-case_Handling_4_NT,TIMEOUT,3741
